PG_Name,Address,Area,Contact,Amenities,Primary_Image_URL,All_Image_URLs,Image_Count,Detail_Page_URL,Source
"SUNRISE NEW LUXURY PG FOR LADIES IN KORAMANGALA","AVS Compound,  behind GKB OPTICALS, near Sony signal, 4th Block, AVS Layout, Koramangala, Bengaluru, Karnataka 560034 Landmark: Exactly near Sony Signal, Near Oasis Mall, Beside GKB Opticals, next Sam","koramangala","9036223355","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (14)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (15)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (16)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (18)-min.jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Sunrise-New-Luxury-PG-For-Ladies-in-Bangalore-Koramangala.html","payingguestinbengaluru.com"
"LAHARI HOMES | LUXURY PG FOR LADIES IN KORAMANGALA","#63, Sri Rama Temple Road, Ashwini Layout, Ejipura, Koramangala 6th Block, Bengaluru, Karnataka 560095 Landmark: Near Koramangala Bus Depot and Opp to Indian Oil Petrol Bunk","koramangala","9494844979","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (2)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (3)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (4)-min.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Sunrise and Lahari PG in Koramangala/Paying Guest in Koramangala Bangalore (8)-min.jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Lahari-Homes-PG-For-Girls-in-Bangalore-Koramangala.html","payingguestinbengaluru.com"
"SNS NEW DELUXE PG FOR LADIES | SHORT & LONG TERM STAYS","Address :           # 234, 3rd Cross Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095                  Landmark:          Near Ganapathi Temple anad Jyothi Nivas College Koramangala","koramangala","7306627775","wifi; ac; tv; meals; laundry; security; kitchen; refrigerator","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/PG in Koramangala - Tirumala PG (1).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/PG in Koramangala - Tirumala PG (2).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (12).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (11).jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/SNS-Deluxe-Ladies-PG-in-Koramangala-Bangalore.html","payingguestinbengaluru.com"
"SNS GRAND NEW LUXURY PG FOR LADIES","Address :         # 35 ,6 th block , 2 nd cross, ejipura, Koramangala , bangalore , karnataka , 560095                  Landmark:          Near Koramangala Bus Depot & Close to Sony Signal Landmark: N","koramangala","7306627775","wifi; ac; tv; meals; laundry; security; kitchen; refrigerator","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/PG in Koramangala - Tirumala PG (1).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/PG in Koramangala - Tirumala PG (2).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (12).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (11).jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/SNS-Grand-Ladies-PG-in-Koramangala-Bangalore.html","payingguestinbengaluru.com"
"LAKSHYA COLIVING PG | COLIVE PG FOR MEN AND WOMEN","Address :         18-4/2, 100 Feet Road, Vivek Nagar, Chandra Reddy Layout, S T Bed Layout, Street between BOSQ and Looking Good Furniture""                  Landmark:          2 mins Walk from Oasis M","koramangala","7483592376","wifi; ac; tv; meals; laundry; security; kitchen; refrigerator","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Venkata Soumya PG for Men in Electronic City (2).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Venkata Soumya PG for Men in Electronic City (6).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Venkata Soumya PG for Men in Electronic City (5).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Venkata Soumya PG for Men in Electronic City (9).jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Lakshya-Colive-PG-in-Bangalore.html","payingguestinbengaluru.com"
"UNIVERSE LUXURY PG IN KORAMANGALA","#447, 17th E Main Road,KHB Block  Kormangala ,6th Block, Kormangala , Bengaluru, karnataka 560095 Landmark: Near Koramangala Club and Koramangala Bus Depot, 2 mins walk from Sony world Signal","koramangala","9742348629","wifi; ac; tv; parking; meals; laundry; security; cctv; refrigerator; microwave","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Universe PG for Ladies in Koramangala (1).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Universe PG in Koramangala Bangalore/Universe PG for Ladies in Koramangala (2).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (12).jpg; https://www.payingguestinbengaluru.com/Luxury-Paying-Guests-in-Bangalore/PG in Bangalore/Rainbow PG/Rainbow Coliving PG in Bangalore (11).jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Universe-Luxury-PG-in-Koramangala-For-Ladies-Bangalore.html","payingguestinbengaluru.com"
"TEMPLE TREE NEW EXECUTIVE PG FOR LADIES","# 430, Koramangala 7th Block, Beside Sai Baba Temple, Bangalore Landmark: Behind Bosch, Opp. Forum Mall(Road Opp. to Star Bazaar)","koramangala","9886523777","wifi; ac; tv; parking; meals; laundry; security; refrigerator","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg1BFRnAMMB2dpDzFBVk-conaMR7tRv8DXZGGTOy4kTpDhgbYEP1DvdugU0dCSwpKKv5Q8632_z-DixyEQqRQ882V7LMPlwJ0DvWNA5F5x2iczcvit6EgNiSVrfOJSAi9koz_5dm18pZGvcpJTfxwq8hT7ccNev8w-D-NmEYuUV8wHpDdJK6FHjfvns/s1152/Temple%20View%20PG%20(2).jpeg; https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEil7pMTio-FXzYZIlJTBf8oP_r7V2R4F3NqNFKkkMJ_obq6UXmw6thwkbJ8HjVk9tfjskDpZ-BpbAF498u42dSA27vWzaBiVOK8Kui1wRbDM4p4EzMrq2OiaaVU_Qn3I4VQQeCKedEe6S_SG0hkAkPDE6DKxnZb804n11P03GbbyYaWMWM-14YJEFjb/s1280/Temple%20View%20PG%20(3).jpeg; https://3.bp.blogspot.com/-Hx4j3NxLG_E/WXUVqDa_KII/AAAAAAAAGzw/jvwz4QfCbWwQkhl_nHiZvaxpUfwOqsIygCLcBGAs/s1600/pic_0000454.jpeg; https://3.bp.blogspot.com/-VLZ4Ib0jpY8/WXUVqIlk0OI/AAAAAAAAGz0/ZSOI1OIsf0cHSPtP0e67qE-Z2t0Hp47LwCLcBGAs/s1600/pic_0000456.jpeg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Temple-Tree-PG-near-Jyoti-Nivas-College-Koramangala-Bangalore.html","payingguestinbengaluru.com"
"PARK AVENUE NEW EXECUTIVE PG FOR LADIES","# 80, 17TH A Main, Koramangala 5th Block, Next to Baby Mona High School, Bangalore Landmark: Opp. to BBMP Office, Near Sukh Sagar, Jyoti Nivas College Road","koramangala","9886523777","wifi; ac; tv; parking; meals; laundry; security; refrigerator","https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (1).png; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (2).png; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (3).png; https://2.bp.blogspot.com/--QlAyA-wtxw/WXUVpf_wr0I/AAAAAAAAGzo/46McM5Td68IMsyXDi3ubZcInTIJ43xlHQCLcBGAs/s1600/pic_0000449.jpeg",5,"https://www.payingguestinbengaluru.com/PARK AVENUE NEW EXECUTIVE PG FOR LADIES IN KORAMANGALA NEAR JNC.html","payingguestinbengaluru.com"
"TEMPLE TREE NEW EXECUTIVE PAYING GUEST FOR LADIES","# 43, 17TH A Main, 4th Cross, Koramangala 5th Block, Behind Baby Mona High School, Bangalore Landmark: Near Canara Bank and Near Titan Eye Plus","koramangala","9916753999","wifi; ac; tv; parking; meals; laundry; security; refrigerator","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/../PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://1.bp.blogspot.com/-dO82DwbHXJw/X-h1Gp8a9aI/AAAAAAAAJQg/AUSIy3Ba7YUfmu80ERXPQvvNsaALX8iPgCLcBGAsYHQ/s2048/Paying%2BGuest%2Bin%2BBengaluru%2B%25285%2529.jpg; https://1.bp.blogspot.com/-aDWtUKMIvSM/X-hz8X4ZytI/AAAAAAAAJNU/WGY2rvTGns8ZW9c6Ejsd-Ak-udrUzedJgCLcBGAsYHQ/s2048/Paying%2BGuest%2Bin%2BBengaluru%2B%25281%2529.jpg; https://1.bp.blogspot.com/-Wzc06Nm8W9M/X-h1I4EimvI/AAAAAAAAJQo/_G3feUcvNXgp64PrWHJ6WQAfe2XZas9OACLcBGAsYHQ/s2048/Paying%2BGuest%2Bin%2BBengaluru%2B%25286%2529.jpg; https://1.bp.blogspot.com/-u_E0-572q5Y/X-h0KQgN5YI/AAAAAAAAJN8/THpqL2Lto1Ikf9BDLLyKCnzKdjA9VQQuwCLcBGAsYHQ/s2048/Paying%2BGuest%2Bin%2BBengaluru%2B%252820%2529.jpg",5,"https://www.payingguestinbengaluru.com/Paying-Guest-(PGs)/Temple-Tree-PG-for-Ladies-in-Koramangala-Bangalore.html","payingguestinbengaluru.com"
"VIJAYA LAKSHMI NEW EXECUTIVE PG FOR LADIES","# 223, 4TH Cross, Koramangala 5th Block, Bangalore Landmark: Near Ganapathi Temple and James Bond Dry Cleaners and 2 mins walk from Jyoti Nivas College","koramangala","9886163888","wifi; ac; tv; parking; meals; laundry; security; refrigerator","https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg","https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/images/Paying-guest-in-bangalore-credits.jpg; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (1).png; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (2).png; https://www.payingguestinbengaluru.com/PG-in-Bangalore-Assets/PGs in Bangalore fight Covid 19/Paying Guest in Bengaluru-PGs-in-Bangalore fight Covid 19 (3).png; https://1.bp.blogspot.com/-r2fs-La8A74/X-hz-PiPE_I/AAAAAAAAJNc/ggzy4BBUqRgbdLERrPJd6FDP2Qfi5g3mQCLcBGAsYHQ/s2048/Paying%2BGuest%2Bin%2BBengaluru%2B%252811%2529.jpg",5,"https://www.payingguestinbengaluru.com/Vijaya-Lakshmi-Ladies-PG-in-Koramangala-Bangalore.html","payingguestinbengaluru.com"
